512,2395.16,2539.7,2538.16,2321.6,2414.66,2403.16,2480.52,2385.74,2489.68,2512.53,2491.27,2548.44,2550.52,2543.49,2521.75,2454.81,2517.29,2487.17,2406.59,2376.69,2389.69,2301.02,2506.11,2554.97,2531.75,2301.02,2466.5,2554.97
1024,3427.56,3476.09,3422.18,3330.72,3338,3395.87,3498.3,3490.81,2685.66,3265.51,3369.63,3421.07,3489.06,3349.87,3462.65,3377.84,3336.72,3498.31,3510.56,3478.4,3427.69,3231.5,3184.84,3389.84,3425.08,2685.66,3371.35,3510.56
2048,3615.34,3786.02,3285.17,3541.72,3419.73,3451.83,3533.58,3246.53,2753.25,3587.02,3575.09,3615.74,3824.57,3562.84,3924.28,3847.39,3531.35,3524.52,3635.08,3509.19,3730.74,3564.15,3856.66,3934.83,3979.92,2753.25,3593.46,3979.92
4096,4342.17,4394.06,4207.61,4320.76,4320.15,4099.02,4467.53,4464.11,4276.03,4302.72,4344.19,4099.69,4445.24,4070.8,4385.46,4366.11,4131.97,4369.61,4357.8,4344.06,4322.25,4287.96,4476.94,4392.36,4314.96,4070.8,4316.14,4476.94
8192,4066.86,4529.65,4366.4,4542.96,4319.95,4160.22,4433.17,4496.18,4512.99,4576.11,4603.67,4600.19,4309.94,4528.21,4454.08,4039.58,4116.34,4043.93,4298.19,4453.38,4397.66,4486.45,4074.62,4033.82,3913.01,3913.01,4334.3,4603.67
16384,4142.73,4119.99,4126.61,4148.53,4145.87,4145.99,4053.25,4048.79,3957.62,3958.39,4271.98,4159.4,4470.66,3375.5,4110.65,4061.83,4122.33,4141.82,4145.52,4174.1,4287.56,4448.81,4335.95,4215.69,4044.67,3375.5,4128.57,4470.66
32768,4158.2,4162.06,4134.29,4120.91,4077.21,4135.11,4180.72,3968.83,4132.93,4517.6,4174.31,3990.73,4138.9,4123.58,4188.62,3314.38,3942.84,4026.51,4158.01,4051.08,3961.43,4101.06,4175.61,4286.34,3991.07,3314.38,4088.49,4517.6
65536,4134.18,4549.52,4331.46,4453.43,4161.25,4646.33,4209.51,4613.57,4392.53,4717.33,4520.61,4227.24,4726.33,4594.94,4180.83,4581.01,4447.27,4559.88,4198.23,4197.38,4167.42,4221.54,4194.88,4150.67,4521.1,4134.18,4387.94,4726.33
131072,4171.25,4502.45,4096.17,4418.9,3876.05,3041.97,4221.33,4129.99,4220.58,4183.59,4220.32,4262.63,4253.22,4098.58,4622.86,4242.56,4225.34,4189.69,4249.06,4584.87,4375.16,4264.47,4156.04,4495.01,4237.49,3041.97,4213.58,4622.86
262144,4318.03,3864.4,4325.17,4479.58,4193.29,4258.38,4250.32,4766.06,4597.32,4286.52,4259.6,4262.62,4329.64,4289.29,4307.73,4316.21,4299.27,4118.74,3304.24,3857.99,4258.61,3765.4,4036.49,3939.62,4260.94,3304.24,4197.82,4766.06
524288,4307.95,4260.55,4392.46,4300.67,4394.46,4354.85,4352.48,4685.74,4302.67,4197.17,3901.89,4417.67,4769.07,4915.53,4452.52,4356.08,4588.49,4851.85,4421.45,4356.49,4460.6,4865.96,3497.13,4355.1,4276.17,3497.13,4401.4,4915.53
1048576,4286.66,4381.91,4456.76,4327.48,4385.76,4374.96,4499.41,4582.4,4405.71,4354.87,4349.69,4371.49,4348.63,4447.37,3322.78,4279.91,4253.32,4684.32,4317.12,4437.42,4328.29,4360.7,4393.57,4390.96,3998.96,3322.78,4333.62,4684.32
